path	sentence
radio_novela_capitulo_I_conductor_008.wav	imaynallan wawqipanaykuna kunan p'unchawpaq qankunapas riki hatun ñapakuyta chaskiykapuwanchis nuqaykupis ña kutirimuspaña kashayku riki kay hermana wasi radio onda azul kay pacha paqariypi purimuspa kashayku ahinaqa watukamuspa kawanchis riki panachanchis luisa payqa chayamuspa kasqa
radio_novela_capitulo_I_conductor_009.wav	haqaykama na llaqtamantapacha hinaqa riki paypas maskhaykuspa kashan yawarmasinkunata haqay pampa kancha aylluman chaypichá chhikaqa kaykunata kusata uyarinakuspa willanakuspa kasunchis
radio_novela_capitulo_I_conductor_012.wav	llakikuymi kay willakuy karimuspa kashan ah hayk'a watañataq mana rikunkichu taytaykita
radio_novela_capitulo_I_conductor_014.wav	kunanqa suyakuspa kasunchis riki kay wahakuyta haqay pampa kancha chay chiqanpin riki kusata uyarikamuspa kanku kay rimayninchispaq riki chiqaqta haqaypiqa purimuspa kan ah chaykunapi chikaqa uyarispa kasunchis kay wahakuypis ña wayk'umuspaña kashan
radio_novela_capitulo_I_conductor_015.wav	kay wahakuy riki waykumuspa kan hinaqa ima kusikuymi riki panachanchis gladys paypis riki riqsirqamuspa kan kunkachanmanta maytaq panachanchis luisata chayta nispa chikaqa maytaq munay takiychawan puriykuspa kasunchis hinaspa riki kutimusunchis astawan imaymana willakuykunawan
radio_novela_capitulo_II_Carlos_048.wav	willarikusayki juliakaq hampina wasipin kunan llank'ashani
radio_novela_capitulo_II_Carlos_049.wav	kunay p'unchaykuna manan llank'ashanichu chayrayku hamushani waturikamushayki imaynallan kashanki
radio_novela_capitulo_II_Carlos_052.wav	may kusacha kanman hamunman hinaqa ay ama chaypi sayaychu tiyay hamuy hamuy hamuy automan siqamuy tiyay
radio_novela_capitulo_II_hampikamaq_032.wav	paqarin kaymanta lluqsipunki wiraqucha juvenal
radio_novela_capitulo_II_hampikamaq_034.wav	ama waqaychu ama chaymantaqa llakikunkichu nuqa pampa kanchaman ambulancia autopi apasaykichis gladyschaqa tiyaymi
radio_novela_capitulo_II_hampikamaq_035.wav	willarisayki huq chikitanta kay p'unchaykuna kay hampina wasiman churaykuwanku
radio_novela_capitulo_II_hampikamaq_037.wav	allintapuni chayta chaninchashanki sipascha luisa chayrayku tata juvenal sipascha luisa yacharinanchis waq unquykuna ukhurimunqa hinaqa wakichikunanchis llapanchis
radio_novela_capitulo_II_narradora_005.wav	chay paqarinta juvenal pampa cancha auto sayana chhiqanman sapallan hatun automan siqarqan
radio_novela_capitulo_II_narradora_006.wav	puriysinaypaqmi anchata payqa mink'akuwarqan ichaqa huq p'unchaw ñawpaqllata anchata ch'aqwaykurqayku
radio_novela_capitulo_II_narradora_007.wav	sapallan juliaca llaqtata hamurqan mauk'aq hatun autota payqa rantinan karqan dolar nisqa tiqraspa qhipanta
radio_novela_capitulo_II_narradora_008.wav	ferrocarril sutiyuq k'ikllunta purispataq chhaqaypi huq pullirayuq sumaq warmi payman chimpaykurqan
radio_novela_capitulo_II_narradora_009.wav	wiraqucha maypitaq hatun k'iqllu pampa tarikun
radio_novela_capitulo_II_narradora_011.wav	manchakuni wakinkunaqa ninku kay mototaxis nisqakuna violadorkunas ama hina kaychu puriysiway wawaykirayku ruray
radio_novela_capitulo_II_narradora_013.wav	chay taksiman siqarqusun nuqa qulqita churasaq siqaykamuy hinaspa qan kutimpunki
radio_novela_capitulo_II_narradora_014.wav	hinataq juvenalta martillowan umapi takaspa yuyaynintaraq chinkarquchin
radio_novela_capitulo_II_narradora_015.wav	chaypitaq wayaqanmanta lliw qulqinta urqurquspa kasqaku
radio_novela_capitulo_II_narradora_016.wav	hinataq Cusco lluqsinaman q'upa wiqch'una pataman payta wiqch'urqanku
radio_novela_capitulo_II_narradora_017.wav	imatataq chaypi wiqch'unku chuy yanapawaychis
radio_novela_capitulo_II_narradora_018.wav	qhipantin p'unchawtaq pampa k'ancha ayllupi huq tukuy runa musphachikuq willakuyta uyarirqayku
radio_novela_capitulo_II_narradora_024.wav	onda azul rimana wayra wasiq facebookninpaq ukhunta juvenalpaq kikinchasqan rikukurqan
